,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,permeability_measured,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,note,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
41,AST-02,39,1502.8,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,,35.6,2.67,0.35600000000000004,6.296570654e-13,6.296570654e-13,1502.8,47.700554,2.136516,0.016,26.525459,0.0,0.3,0.65,0.05,0.0,clay composition data available,,,,,,
42,AST-02,40,1503.1,NMRFS,Zand van Berg,1.8,1.8,2.8,3.4,3.0,1.6,1.1,1.0,0.6,6.3,12.4,22.6,35.6,5.9,1.3,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,3.68,0.97,115.0,0.00011499999999999999,1350.0,,36.8,2.66,0.368,1.332346455e-12,1.332346455e-12,1503.1,49.181877,2.168078,0.024031999999999998,26.394569,0.15,0.5,0.35,,,clay composition estimated,62.02504850556004,-9.516149620749212,0.8374608163972218,-4.132811269257107,0.8374608163972218,8.951545646680145e-05
43,AST-02,41,1503.4,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,34.1,2.67,0.341,9.849494534e-13,9.849494534e-13,1503.4,49.59819,2.1951959999999997,0.028124,26.459991,0.15,0.5,0.35,,,clay composition estimated,,,,,,
44,AST-02,42,1503.7,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,,33.5,2.66,0.335,6.138662926e-13,6.138662926e-13,1503.7,48.003159000000004,2.196104,0.027951999999999998,26.528361999999998,0.15,0.5,0.35,,,clay composition estimated,,,,,,
45,AST-02,43,1504.0,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,,35.6,2.67,0.35600000000000004,8.724401972e-13,8.724401972e-13,1504.0,45.736359,2.170259,0.023518,26.599937,0.15,0.5,0.35,,,clay composition estimated,,,,,,
46,AST-02,44,1504.3,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,30.1,2.63,0.301,3.029854531e-13,3.029854531e-13,1504.3,45.715019,2.142929,0.013747,26.649836999999998,0.15,0.5,0.35,,,clay composition estimated,,,,,,
47,AST-02,45,1504.6,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.0,,36.3,2.66,0.363,9.47446368e-13,9.47446368e-13,1504.6,45.912971,2.139174,0.012,27.199013,0.15,0.5,0.35,,,clay composition estimated,,,,,,
48,AST-02,46,1504.9,NMRFS,Zand van Berg,5.9,5.9,4.2,4.6,3.5,2.0,1.3,1.4,2.4,7.8,18.6,24.9,20.6,2.0,0.4,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059000000000000004,4.02,1.11,96.0,9.6e-05,244.0,,31.4,2.69,0.314,2.408092852e-13,2.408092852e-13,1504.9,43.269073,2.132095,0.013266,27.225151,0.15,0.5,0.35,,,clay composition estimated,78.60420040384965,-9.684905298715647,1.010107779536731,-4.20610092898777,1.010107779536731,9.992667091295934e-05
49,AST-02,47,1502.2,NMRFS,Zand van Berg,2.1,2.1,1.9,2.9,2.3,1.6,1.2,1.5,2.8,7.3,21.1,29.7,22.4,2.2,0.6,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,3.8,0.95,96.0,9.6e-05,2520.0,,37.6,2.66,0.376,2.487046716e-12,2.487046716e-12,1502.2,51.282303000000006,2.135538,0.011613,27.876282,0.0,0.3,0.65,0.05,0.0,clay composition data available,54.33445901864242,-9.529391934358877,0.7652677973209828,-4.138562332985415,0.7652677973209828,9.72551691303688e-05
50,AST-02,48,1505.5,NMRFS,Zand van Berg,1.9,1.9,2.5,3.3,2.3,1.4,0.8,1.1,2.4,6.2,19.4,28.7,25.4,3.4,0.8,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,3.76,0.95,96.0,9.6e-05,516.0,,32.5,2.67,0.325,5.092524228e-13,5.092524228e-13,1505.5,41.948502000000005,2.1628580000000004,0.046326,26.360560999999997,0.15,0.5,0.35,,,clay composition estimated,59.227579842758324,-9.503769443562225,0.832078435365221,-4.127434626619813,0.832078435365221,9.927214181830629e-05
