,phi,cv,k_cl,k_sd,k_cfs,k,k_normalized,k_sd_calc,k_sd_Knoll1996,k_cl_calc_Knoll1996,k_cl_Knoll1996,k_calc_Knoll1996,k_normalized_Knoll1996
52,0.312,0.52,,,,,,1.5093398441956766e-10,4.4e-10,2.1390681093098698e-17,1.5e-15,5.624659989723823e-16,-0.07791600957450615
53,0.318,0.53,,,,,,1.6339961806141506e-10,4.4e-10,2.364914257319325e-17,1.5e-15,5.787687361978012e-16,-0.07564639759871385
54,0.324,0.54,,,,,,1.7669458422598747e-10,4.4e-10,2.6119770623245537e-17,1.5e-15,5.952260074963123e-16,-0.07341921077063103
55,0.33,0.55,,,,,,1.9086525188012295e-10,4.4e-10,2.882100621262405e-17,1.5e-15,6.118363751853922e-16,-0.07123289207057146
56,0.336,0.56,,,,,,2.059604746369042e-10,4.4e-10,3.1772862228355845e-17,1.5e-15,6.285984409780222e-16,-0.06908596865144044
57,0.342,0.5700000000000001,,,,,,2.2203173819141072e-10,4.4e-10,3.4997062348032005e-17,1.5e-15,6.455108442156492e-16,-0.0669770458788071
58,0.348,0.58,,,,,,2.3913331763903487e-10,4.4e-10,3.851719302372254e-17,1.5e-15,6.6257226021016e-16,-0.06490480188931176
59,0.354,0.59,,,,,,2.57322445423166e-10,4.4e-10,4.235886991450205e-17,1.5e-15,6.797813986863717e-16,-0.06286798261423947
60,0.36,0.6,,,,,,2.7665949072222944e-10,4.4e-10,4.654992025314533e-17,1.5e-15,6.97137002317335e-16,-0.06086539722133962
61,0.366,0.61,,,,,,2.972081511552001e-10,4.4e-10,5.112058279824927e-17,1.5e-15,7.146378453454589e-16,-0.05889591393341287
62,0.372,0.62,,,,,,3.190356577603906e-10,4.4e-10,5.610372720876633e-17,1.5e-15,7.322827322830984e-16,-0.05695845618689203
63,0.378,0.63,,,,,,3.422129942852408e-10,4.4e-10,6.153509488632316e-17,1.5e-15,7.500704966868114e-16,-0.05505199909778098
64,0.384,0.64,,,,,,3.668151319157725e-10,4.4e-10,6.74535635647321e-17,1.5e-15,7.68e-16,-0.05317556620590175
65,0.39,0.65,,,,,,3.9292128067416604e-10,4.4e-10,7.390143818920229e-17,1.5e-15,7.860701304591086e-16,-0.05132822647155527
66,0.396,0.66,,,,,,4.206151588225284e-10,4.4e-10,8.092477092382676e-17,1.5e-15,8.042798020589602e-16,-0.04950909150147412
67,0.402,0.67,,,,,,4.4998528173141e-10,4.4e-10,8.857371345944293e-17,1.5e-15,8.226279535731814e-16,-0.04771731298337489
68,0.40800000000000003,0.68,,,,,,4.811252718041924e-10,4.4e-10,9.690290517005923e-17,1.5e-15,8.411135476260028e-16,-0.04595208031056405
69,0.41400000000000003,0.6900000000000001,,,,,,5.141341911944408e-10,4.4e-10,1.059719010906125e-16,1.5e-15,8.597355698120208e-16,-0.04421261837994982
70,0.42000000000000004,0.7000000000000001,,,,,,5.49116899214191e-10,4.4e-10,1.1584564416862925e-16,1.5e-15,8.784930278607794e-16,-0.042498185548489574
71,0.426,0.71,,,,,,5.861844365086137e-10,4.4e-10,1.2659498678521335e-16,1.5e-15,8.973849508432821e-16,-0.04080807173458133
72,0.432,0.72,,,,,,6.254544382684374e-10,4.4e-10,1.3829726715564976e-16,1.5e-15,9.164103884177655e-16,-0.03914159665224261
73,0.438,0.73,,,,,,6.670515789680683e-10,4.4e-10,1.510369469171648e-16,1.5e-15,9.355684101122697e-16,-0.037498108167077576
74,0.444,0.74,,,,,,7.111080513569004e-10,4.4e-10,1.6490631700300683e-16,1.5e-15,9.548581046417314e-16,-0.03587698076409979
75,0.44999999999999996,0.75,,,,,,7.577640826965533e-10,4.4e-10,1.8000627980186104e-16,1.5e-15,9.742785792574935e-16,-0.03427761411838875
76,0.45599999999999996,0.76,,,,,,8.071684915307953e-10,4.4e-10,1.964472166257655e-16,1.5e-15,9.938289591272735e-16,-0.03269943176041834
77,0.46199999999999997,0.77,,,,,,8.594792886010925e-10,4.4e-10,2.1434995067680265e-16,1.5e-15,1.01350838674379e-15,-0.031141879828624066
78,0.46799999999999997,0.78,,,,,,9.148643258830475e-10,4.4e-10,2.3384681703458294e-16,1.5e-15,1.033316021360358e-15,-0.02960442590245793
79,0.474,0.79,,,,,,9.735019981217917e-10,4.4e-10,2.55082852708153e-16,1.5e-15,1.0532510384518973e-15,-0.02808655790977606
80,0.48,0.8,,,,,,1.035582001692756e-09,4.4e-10,2.7821712153689016e-16,1.5e-15,1.0733126291998992e-15,-0.026587783102950874
81,0.486,0.81,,,,,,1.1013061561138152e-09,4.4e-10,3.0342419071956095e-16,1.5e-15,1.0935000000000001e-15,-0.02510762709858315
82,0.492,0.8200000000000001,,,,,,1.1708892940920983e-09,4.4e-10,3.3089577803923843e-16,1.5e-15,1.1138123719909023e-15,-0.023645632976131863
83,0.498,0.8300000000000001,,,,,,1.2445602266111193e-09,4.4e-10,3.6084259148132334e-16,1.5e-15,1.1342489806034652e-15,-0.02220136043117756
84,0.504,0.84,,,,,,1.3225627902597763e-09,4.4e-10,3.9349638596780936e-16,1.5e-15,1.1548090751288716e-15,-0.020774384979392234
85,0.51,0.85,,,,,,1.405156984783766e-09,4.4e-10,4.2911226541823297e-16,1.5e-15,1.175491918304843e-15,-0.019364297207613183
86,0.516,0.86,,,,,,1.4926202097130896e-09,4.4e-10,4.679712623730763e-16,1.5e-15,1.1962967859189458e-15,-0.017970702068718182
87,0.522,0.87,,,,,,1.5852486098991943e-09,4.4e-10,5.103832320692032e-16,1.5e-15,1.2172229664280902e-15,-0.01659321821726355
88,0.528,0.88,,,,,,1.683358540896316e-09,4.4e-10,5.56690103246135e-16,1.5e-15,1.2382697605933855e-15,-0.015231477383085367
89,0.534,0.89,,,,,,1.7872881663604502e-09,4.4e-10,6.07269534213336e-16,1.5e-15,1.2594364811295566e-15,-0.013885123780294877
90,0.54,0.9,,,,,,1.897399201035123e-09,4.4e-10,6.625390299725657e-16,1.5e-15,1.2807224523681936e-15,-0.012553813549291413
91,0.546,0.91,,,,,,2.014078814467876e-09,4.4e-10,7.229605846447065e-16,1.5e-15,1.302127009934131e-15,-0.01123721422960788
92,0.552,0.92,,,,,,2.1377417123805217e-09,4.4e-10,7.8904592331054e-16,1.5e-15,1.3236495004343105e-15,-0.009935004261561069
93,0.558,0.93,,,,,,2.2688324146292415e-09,4.4e-10,8.613624288944966e-16,1.5e-15,1.3452892811585173e-15,-0.008646872514843813
94,0.5640000000000001,0.9400000000000001,,,,,,2.4078277509715903e-09,4.4e-10,9.405398532044306e-16,1.5e-15,1.3670457197914048e-15,-0.007372517842326323
95,0.5700000000000001,0.9500000000000001,,,,,,2.555239598446049e-09,4.4e-10,1.027277927054943e-15,1.5e-15,1.3889181941352773e-15,-0.0061116486574674675
96,0.576,0.96,,,,,,2.711617887111943e-09,4.4e-10,1.122355002986817e-15,1.5e-15,1.4109060918431104e-15,-0.004863982533853536
97,0.582,0.97,,,,,,2.877553904247077e-09,4.4e-10,1.226637885981347e-15,1.5e-15,1.4330088101613331e-15,-0.0036292458254858734
98,0.588,0.98,,,,,,3.053683930919702e-09,4.4e-10,1.3410930333968541e-15,1.5e-15,1.4552257556819148e-15,-0.002407173306542183
99,0.594,0.99,,,,,,3.2406932492141223e-09,4.4e-10,1.4667993359025123e-15,1.5e-15,1.4775563441033306e-15,-0.001197507829426231
100,0.6,1.0,,,,,,3.4393205633806136e-09,4.4e-10,1.6049627273950177e-15,1.5e-15,1.5e-15,0.0
