porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction
0.133427,5.45372709774893E-13,0,0.33333,0.33333,0.33333,14.8
0.138462,5.38509540941366E-13,0,0.33333,0.33333,0.33333,14.8
0.138881,9.08685090348876E-13,0,0.33333,0.33333,0.33333,14.8
0.144755,1.04189367657368E-12,0,0.33333,0.33333,0.33333,14.8
0.148531,6.65247731430304E-13,0,0.33333,0.33333,0.33333,14.8
0.148951,9.1969410384323E-13,0,0.33333,0.33333,0.33333,14.8
0.14979,1.04167778454805E-12,0,0.33333,0.33333,0.33333,14.8
0.153147,1.2094652705444E-12,0,0.33333,0.33333,0.33333,14.8
0.154825,8.74769036438869E-13,0,0.33333,0.33333,0.33333,14.8
0.156923,7.72241972059327E-13,0,0.33333,0.33333,0.33333,14.8
0.158182,1.00312118459117E-12,0,0.33333,0.33333,0.33333,14.8
0.159441,1.19418992328373E-12,0,0.33333,0.33333,0.33333,14.8
0.162797,8.42409783999426E-13,0,0.33333,0.33333,0.33333,14.8
0.163636,1.53180471589832E-12,0,0.33333,0.33333,0.33333,14.8
0.165315,9.1908018339788E-13,0,0.33333,0.33333,0.33333,14.8
0.166154,1.3354984928177E-12,0,0.33333,0.33333,0.33333,14.8
0.166993,1.16443004369977E-12,0,0.33333,0.33333,0.33333,14.8
0.169091,1.55064863873418E-12,0,0.33333,0.33333,0.33333,14.8
0.16993,1.0538611680745E-12,0,0.33333,0.33333,0.33333,14.8
0.172448,2.74994116522173E-12,0,0.33333,0.33333,0.33333,14.8
0.174126,1.13543794105325E-12,0,0.33333,0.33333,0.33333,14.8
0.175804,1.58932751542567E-12,0,0.33333,0.33333,0.33333,14.8
0.177902,2.51972649273437E-12,0,0.33333,0.33333,0.33333,14.8
0.178741,1.31826706572872E-12,0,0.33333,0.33333,0.33333,14.8
0.18,1.73381758030761E-12,0,0.33333,0.33333,0.33333,14.8
0.182098,1.31808495298326E-12,0,0.33333,0.33333,0.33333,14.8
0.183357,1.96360171271313E-12,0,0.33333,0.33333,0.33333,14.8
0.183776,1.47435953304645E-12,0,0.33333,0.33333,0.33333,14.8
0.186294,2.22383930695053E-12,0,0.33333,0.33333,0.33333,14.8
0.187133,1.73333857498596E-12,0,0.33333,0.33333,0.33333,14.8
0.187972,1.36796001166536E-12,0,0.33333,0.33333,0.33333,14.8
0.189231,1.6285211462777E-12,0,0.33333,0.33333,0.33333,14.8
0.19007,1.93875710429035E-12,0,0.33333,0.33333,0.33333,14.8
0.192587,1.73293950497597E-12,0,0.33333,0.33333,0.33333,14.8
0.195105,2.11496605914016E-12,0,0.33333,0.33333,0.33333,14.8
0.196364,1.77636988627771E-12,0,0.33333,0.33333,0.33333,14.8
0.198462,1.98697957223659E-12,0,0.33333,0.33333,0.33333,14.8
0.202238,1.84358600320453E-12,0,0.33333,0.33333,0.33333,14.8
0.204755,2.16742162548076E-12,0,0.33333,0.33333,0.33333,14.8
0.20979,2.45450206737377E-12,0,0.33333,0.33333,0.33333,14.8
0.211469,2.1399981713131E-12,0,0.33333,0.33333,0.33333,14.8
0.213566,2.30591557248812E-12,0,0.33333,0.33333,0.33333,14.8
0.216923,2.71089940489992E-12,0,0.33333,0.33333,0.33333,14.8
0.218601,3.26763396954296E-12,0,0.33333,0.33333,0.33333,14.8
0.221958,2.92067613634178E-12,0,0.33333,0.33333,0.33333,14.8
0.223217,2.64352488020378E-12,0,0.33333,0.33333,0.33333,14.8
0.226154,3.79335425152277E-12,0,0.33333,0.33333,0.33333,14.8
0.229091,2.95640142019556E-12,0,0.33333,0.33333,0.33333,14.8
0.231608,3.60814018201638E-12,0,0.33333,0.33333,0.33333,14.8
0.232867,3.30668939264521E-12,0,0.33333,0.33333,0.33333,14.8
0.237063,3.56265199765125E-12,0,0.33333,0.33333,0.33333,14.8
0.237902,3.1846624135872E-12,0,0.33333,0.33333,0.33333,14.8
0.267273,6.71666058053715E-12,0,0.33333,0.33333,0.33333,14.8
0.284056,7.69774290722277E-12,0,0.33333,0.33333,0.33333,14.8
