,sample,clay_fraction,porosity,permeability_measured,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
0,1,0.0,0.39899999999999997,4.4000000000000003e-10,1,0,0,4.7,8.46677350641684e-17,3.549176135822485e-20,3.4319936133361253e-22,8.466773506416848e-17,4.764965143974986e-10,0.0,4.764965143974986e-10
1,2,0.062,0.359,7.499999999999999e-13,1,0,0,4.7,4.582589734923721e-17,1.9318314108913567e-20,2.0556538839526425e-22,4.582589734923721e-17,2.6358301112250457e-10,0.0,1.004175025266703e-10
2,3,0.129,0.308,1.5999999999999998e-14,1,0,0,4.7,1.9994461196569477e-17,8.493294759075098e-21,1.0285121048413157e-22,1.9994461196569397e-17,1.1870016926199212e-10,0.0,1.5873199242519327e-11
3,4,0.209,0.23800000000000002,5.4e-16,1,0,0,4.7,5.567786998860245e-18,2.3930322511891622e-21,3.537016930196479e-23,5.567786998860248e-18,3.4643513793420284e-11,0.0,1.3173119043072044e-12
4,5,0.37200000000000005,0.359,7.1e-16,1,0,0,4.7,4.582589734923721e-17,1.9318314108913567e-20,2.0556538839526425e-22,4.582589734923721e-17,2.6358301112250457e-10,0.0,8.058782235114966e-13
5,6,0.613,0.48,6.4e-16,1,0,0,4.7,2.782171187120179e-16,1.1535812111690026e-19,9.266657053425546e-22,2.782171187120184e-16,1.5120878720098852e-09,0.0,1.124355399503081e-13
6,7,1.0,0.599,1.5e-15,1,0,0,4.7,1.58101503400109e-15,6.451640931183821e-19,3.952906830159105e-21,1.5810150340010908e-15,8.355458099339756e-09,0.0,1.5810150340010908e-15
