,Unnamed: 0,sample,clay_fraction,porosity,permeability_measured,kaolinite_fraction,illite_fraction,smectite_fraction,grain_size_mean,grain_size_stdev,specific_surface_granular_fraction,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
0,0,"190-1173A-31X-1,135-150",0.86,0.66,2.5e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
1,1,"190-1173A-31X-1,135-150",0.86,0.66,2.4e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
2,2,"190-1173A-31X-1,135-150",0.86,0.66,2.5e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
3,3,"190-1173A-31X-1,135-150",0.86,0.66,4.870000000000001e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
4,4,"190-1173A-31X-1,135-150",0.86,0.66,1.8e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
5,5,"190-1173A-31X-1,135-150",0.86,0.66,1.6e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
6,6,"190-1173A-31X-1,135-150",0.86,0.66,1.4000000000000006e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
7,7,"190-1173A-31X-1,135-150",0.86,0.66,1.6e-17,0.16,0.34,0.43,2.2e-06,1.9e-06,377.78579862321067,4.3201977547315784e-14,1.0136310155044472e-16,2.8027312959302176e-19,2.793442731223094e-16,3.3176044438420907e-12,0.0,1.0389523953666062e-15
