,depth,GR,RHOB,DRHO,NPHI,DPHI,NPHI_ss,NDPHI_diff,clay_fraction_NDPHI,k_kaolinite,k_illite,k_smectite,k_clay_best,log_mean_gs,log_std_gs,Ss_granular,k_granular_best,power_mean_exponent,k_calculated
93,1651.7,11.757982,,,,,,,,,,,,,,,,0.0,
94,1651.6,10.029608,,,,,,,,,,,,,,,,0.0,
95,1651.5,9.073263,,,,,,,,,,,,,,,,0.0,
96,1651.4,9.190598,,,,,,,,,,,,,,,,0.0,
97,1651.3,9.03898,,,,,,,,,,,,,,,,0.0,
98,1651.2,8.596828,,,,,,,,,,,,,,,,0.0,
99,1651.1,8.685642,,,,,,,,,,,,,,,,0.0,
100,1651.0,9.647463,,,,,,,,,,,,,,,,0.0,
101,1650.9,9.833843,,,,,,,,,,,,,,,,0.0,
102,1650.8,10.141109,,,,,,,,,,,,,,,,0.0,
103,1650.7,10.347610000000001,,,,,,,,,,,,,,,,0.0,
104,1650.6,9.063044,,,,,,,,,,,,,,,,0.0,
105,1650.5,8.751783,,,,,,,,,,,,,,,,0.0,
106,1650.4,9.299995,,,,,,,,,,,,,,,,0.0,
107,1650.3,9.180334,,,,,,,,,,,,,,,,0.0,
108,1650.2,8.106907000000001,,,,,,,,,,,,,,,,0.0,
109,1650.1,6.709908,,,,,,,,,,,,,,,,0.0,
110,1650.0,6.633203,,,,,,,,,,,,,,,,0.0,
111,1649.9,7.046284,,,,,,,,,,,,,,,,0.0,
112,1649.8,8.397594,,,,,,,,,,,,,,,,0.0,
113,1649.7,10.177155,,,,,,,,,,,,,,,,0.0,
114,1649.6,10.727025999999999,,,,,,,,,,,,,,,,0.0,
115,1649.5,9.656239,,,,,,,,,,,,,,,,0.0,
116,1649.4,8.247351,,,,,,,,,,,,,,,,0.0,
117,1649.3,7.786372,,,,,,,,,,,,,,,,0.0,
118,1649.2,6.989745,,,,,,,,,,,,,,,,0.0,
119,1649.1,5.877828,,,,,,,,,,,,,,,,0.0,
120,1649.0,5.441886,,,,,,,,,,,,,,,,0.0,
121,1648.9,5.813162999999999,,,,,,,,,,,,,,,,0.0,
122,1648.8,6.784135000000001,,,,,,,,,,,,,,,,0.0,
123,1648.7,7.0395449999999995,,,,,,,,,,,,,,,,0.0,
124,1648.6,6.527103,,,,,,,,,,,,,,,,0.0,
125,1648.5,6.748692999999999,,,,,,,,,,,,,,,,0.0,
126,1648.4,7.444222,,,,,,,,,,,,,,,,0.0,
127,1648.3,7.377827000000001,,,,,,,,,,,,,,,,0.0,
128,1648.2,6.262731,,,,,,,,,,,,,,,,0.0,
129,1648.1,5.1600470000000005,,,,,,,,,,,,,,,,0.0,
130,1648.0,4.944749,,,,,,,,,,,,,,,,0.0,
131,1647.9,5.162157,,,,,,,,,,,,,,,,0.0,
132,1647.8,4.945786,,,,,,,,,,,,,,,,0.0,
133,1647.7,5.089771,,,,,,,,,,,,,,,,0.0,
134,1647.6,5.991401000000001,,,,,,,,,,,,,,,,0.0,
