depth,GR,RHOB,DRHO,NPHI
1626.6,59.599976,2.387513,0.141022,26.078159
1626.5,59.551994,2.405211,0.153912,25.827854
1626.4,59.460442,2.411347,0.156663,25.719006
1626.3,59.168419,2.410968,0.153773,25.627605
1626.2,58.560226,2.404714,0.144712,25.556499
1626.1,57.07531,2.393508,0.132541,25.547016
1626,55.24939,2.37816,0.119431,25.571533
1625.9,53.47657,2.353439,0.099233,25.558247
1625.8,50.937454,2.332154,0.081146,25.578259
1625.7,48.685577,2.318355,0.070174,25.669109
1625.6,47.52504,2.304811,0.061359,25.845345
1625.5,47.246368,2.293218,0.054857,26.045475
1625.4,48.565865,2.28466,0.050441,26.187389
1625.3,50.735481,2.280386,0.047855,26.242447
1625.2,53.024887,2.280961,0.048978,26.178844
1625.1,56.712059,2.283205,0.051628,26.069382
1625,60.321434,2.286672,0.053776,25.961102
1624.9,62.880203,2.294897,0.057622,25.704918
1624.8,66.185501,2.306208,0.062422,25.403164
1624.7,69.174133,2.318449,0.067946,25.17794
1624.6,70.832352,2.343168,0.083402,24.886124
1624.5,71.844894,2.368948,0.100919,24.685528
1624.4,71.892853,2.382007,0.110572,24.714622
1624.3,71.142197,2.389023,0.116838,24.93483
1624.2,70.340256,2.386878,0.117507,25.478542
1624.1,70.154572,2.376327,0.111765,26.117683
1624,70.993027,2.36429,0.103861,26.552185
1623.9,72.694977,2.347309,0.093265,26.836872
1623.8,75.616974,2.327406,0.081724,26.897644
1623.7,78.416595,2.31285,0.073738,26.734921
1623.6,79.515015,2.29466,0.06424,26.374451
1623.5,79.842957,2.273182,0.053037,25.967438
1623.4,78.82106,2.261449,0.046946,25.871311
1623.3,76.522263,2.255518,0.045447,25.966377
1623.2,73.879959,2.255257,0.050814,26.412632
1623.1,69.159973,2.260698,0.0612,27.486004
1623,63.438431,2.263614,0.067154,28.733082
1622.9,59.599968,2.25896,0.069769,30.597687
1622.8,55.730515,2.250136,0.0714,33.037186
1622.7,51.255577,2.244006,0.072774,34.442307
1622.6,46.856659,2.23841,0.07482,35.457588
1622.5,45.28064,2.234426,0.077509,36.445427
1622.4,44.609192,2.230839,0.079537,36.888779
1622.3,44.795151,2.228176,0.076884,36.870438
1622.2,45.284485,2.22847,0.069161,36.880669
1622.1,45.655342,2.234642,0.058247,36.660172
1622,45.516663,2.245727,0.051194,36.494331
1621.9,44.677818,2.271271,0.043667,35.964928
1621.8,43.278442,2.311371,0.036421,35.064621
1621.7,41.629181,2.341331,0.032416,34.200546
1621.6,41.025597,2.374259,0.028412,33.048256
1621.5,40.748878,2.415581,0.024247,31.213844
1621.4,40.93544,2.465135,0.021382,28.641178
1621.3,41.153603,2.491249,0.022427,27.122719
1621.2,40.944038,2.511727,0.023609,25.427769
1621.1,40.281616,2.524534,0.023879,23.416309
1621,39.084732,2.519898,0.021288,22.165806
1620.9,38.287224,2.51287,0.020036,21.038136
1620.8,37.496292,2.504219,0.020423,19.902321
1620.7,36.498703,2.495705,0.021743,18.791538
1620.6,35.12854,2.493649,0.023487,18.596043
1620.5,34.215851,2.492319,0.025491,18.724289
1620.4,33.43721,2.494095,0.028782,19.174473
1620.3,32.777969,2.49883,0.030933,19.585926
1620.2,32.893417,2.507935,0.034548,20.057026
1620.1,33.680672,2.520689,0.039338,20.432968
1620,35.017349,2.523992,0.0397,20.481228
1619.9,36.008064,2.524242,0.039733,20.373802
1619.8,36.693466,2.520666,0.041,20.110275
1619.7,37.109665,2.51279,0.041023,19.958073
1619.6,37.303276,2.502854,0.041341,19.924984
1619.5,37.405708,2.487834,0.041249,20.03566
1619.4,38.24382,2.468463,0.039625,20.349487
1619.3,40.106354,2.459911,0.039072,20.681931
1619.2,41.908066,2.457467,0.042049,21.107544
1619.1,44.283905,2.460182,0.048566,21.550194
1619,46.616196,2.462986,0.05179,21.68372
1618.9,47.099976,2.46372,0.052611,21.755024
1618.8,46.905823,2.454343,0.048117,21.844944
1618.7,45.852737,2.435852,0.039765,21.946323
1618.6,44.524696,2.420002,0.03446,22.115955
1618.5,44.247917,2.395626,0.029623,22.475704
1618.4,45.291023,2.366938,0.024098,22.909016
1618.3,47.646851,2.347439,0.019873,23.256424
1618.2,50.421761,2.330478,0.016821,23.630611
1618.1,53.986511,2.308728,0.01598,24.196529
1618,60.357468,2.285199,0.019548,24.840115
1617.9,67.343445,2.266703,0.025375,25.237083
1617.8,71.526184,2.235397,0.031352,25.649025
1617.7,74.620499,2.201867,0.034254,26.029499
1617.6,75.645294,2.181875,0.033614,26.255882
1617.5,74.353607,2.165436,0.033516,26.550171
1617.4,70.702454,2.158748,0.035747,26.913841
1617.3,66.87941,2.166558,0.040469,27.289402
1617.2,64.66124,2.181904,0.044515,27.762199
1617.1,63.206444,2.209541,0.044478,28.667549
1617,61.507736,2.235334,0.040421,29.664871
1616.9,59.586639,2.247951,0.034212,30.290039
1616.8,57.611458,2.256121,0.027304,30.801872
1616.7,54.202805,2.260574,0.023578,31.050171
1616.6,50.802483,2.260516,0.023,30.972431
1616.5,48.448967,2.255874,0.022525,30.614975
1616.4,46.746025,2.249297,0.021122,30.291317
1616.3,45.485062,2.244812,0.019692,30.104301
1616.2,44.849678,2.244659,0.019568,29.944038
1616.1,44.75631,2.251195,0.021812,29.877491
1616,44.838455,2.260971,0.02554,29.705441
1615.9,44.794037,2.271202,0.029083,29.408039
1615.8,44.574394,2.280146,0.029775,29.017284
1615.7,43.708939,2.284306,0.028706,28.683708
1615.6,42.647865,2.284025,0.027605,28.651379
1615.5,41.786522,2.281733,0.026608,28.735783
1615.4,41.083893,2.279067,0.027052,29.099087
1615.3,40.753922,2.277236,0.028307,29.58783
1615.2,40.988503,2.275622,0.029394,29.845005
1615.1,41.728233,2.272269,0.029912,29.746075
1615,43.542877,2.26898,0.029525,29.39484
1614.9,45.566231,2.268145,0.028141,28.956245
1614.8,47.046478,2.267934,0.024777,28.445499
1614.7,48.126595,2.269469,0.02241,28.12838
1614.6,48.862427,2.27188,0.021059,28.026615
1614.5,48.970024,2.273117,0.019207,27.98048
1614.4,48.595436,2.274165,0.017212,27.863693
1614.3,47.825134,2.273955,0.015683,27.723717
1614.2,47.187378,2.271075,0.015072,27.597622
1614.1,47.059433,2.26631,0.01591,27.424946
1614,47.231293,2.263598,0.018706,27.300289
1613.9,47.381035,2.263693,0.022107,27.299076
1613.8,47.399963,2.264863,0.02561,27.420395
1613.7,47.309532,2.270857,0.030935,27.650002
1613.6,46.897972,2.279548,0.035527,27.849449
1613.5,46.402702,2.288265,0.038219,27.963608
1613.4,45.997231,2.305274,0.041162,27.97694
1613.3,45.041649,2.324287,0.043723,27.87009
1613.2,43.817238,2.335853,0.045353,27.734188
1613.1,42.987686,2.346747,0.045122,27.511673
1613,42.108353,2.354285,0.043642,27.198261
1612.9,41.52359,2.354627,0.041771,26.973732
1612.8,41.623383,2.352506,0.03882,26.808674
1612.7,41.956192,2.346624,0.036239,26.58223
1612.6,42.480705,2.339673,0.03623,26.377865
1612.5,42.899963,2.340397,0.0404,26.292
1612.4,42.823051,2.345382,0.046692,26.150776
1612.3,42.392044,2.353699,0.052548,25.993423
1612.2,41.864258,2.363296,0.055803,25.882828
1612.1,41.891891,2.379451,0.059335,25.678825
1612,42.510162,2.40123,0.064559,25.356907
1611.9,43.761826,2.412457,0.068088,25.136219
1611.8,44.93515,2.417318,0.069421,24.867023
1611.7,46.041389,2.41096,0.065157,24.49567
1611.6,47.215675,2.394337,0.057102,24.112846
1611.5,48.175316,2.379294,0.052883,23.979713
1611.4,48.355354,2.359889,0.050731,23.965549
1611.3,48.676704,2.337152,0.051173,24.059559
1611.2,49.426018,2.327403,0.054207,24.226109
1611.1,50.366348,2.32076,0.05751,24.461937
1611,51.620018,2.316519,0.061219,24.751289
1610.9,52.941429,2.319312,0.064512,24.918873
1610.8,53.882233,2.322505,0.068023,25.090191
1610.7,53.668327,2.327863,0.072254,25.229069
1610.6,52.817116,2.337418,0.078692,25.423717
1610.5,51.49884,2.339657,0.080112,25.527889
1610.4,50.825165,2.341782,0.08114,25.631577
1610.3,50.549408,2.344547,0.083879,25.820675
1610.2,50.760849,2.347121,0.086926,26.029125
1610.1,51.193855,2.351929,0.09144,26.209435
1610,51.647903,2.35281,0.093892,26.340088
1609.9001,51.960915,2.346635,0.092703,26.419998
1609.8001,51.984123,2.338613,0.088553,26.279839
1609.7001,51.699341,2.327977,0.081922,26.000637
1609.6001,51.253609,2.315375,0.07429,25.626026
1609.5001,50.431389,2.304008,0.067554,25.366615
1609.4001,49.707809,2.290395,0.059857,25.141827
1609.3001,48.807877,2.273256,0.051175,24.952866
1609.2001,47.811714,2.266191,0.048338,25.003712
1609.1001,47.38607,2.263685,0.048628,25.070354
1609.0001,47.16375,2.261375,0.048034,25.232021
1608.9001,47.140541,2.262536,0.048744,25.404846
1608.8001,47.276848,2.266191,0.050036,25.497257
1608.7001,47.430855,2.270185,0.051473,25.601181
1608.6001,47.225288,2.271821,0.053224,25.621098
1608.5001,46.525795,2.26556,0.051608,25.666996
1608.4001,45.753059,2.250205,0.046374,25.832512
1608.3001,44.844856,2.22708,0.036632,26.051033
1608.2001,43.630432,2.212682,0.031425,26.266338
1608.1001,42.423027,2.192787,0.025425,26.547153
1608.0001,41.906136,2.171611,0.019328,26.773872
1607.9001,41.162491,2.164125,0.018057,26.871239
1607.8001,40.27977,2.162032,0.018839,26.908287
1607.7001,39.708122,2.16581,0.022448,26.947575
1607.6001,39.164368,2.172093,0.02661,27.047523
1607.5001,38.911339,2.176989,0.029223,27.232517
1607.4001,39.251335,2.18196,0.031745,27.457024
1607.3001,39.964729,2.193968,0.035973,27.653072
1607.2001,40.990845,2.21029,0.041878,27.742348
1607.1001,41.63958,2.222073,0.046085,27.629452
1607.0001,41.564377,2.23781,0.049627,27.265007
1606.9001,40.879837,2.253428,0.050861,26.866859
1606.8001,40.147026,2.265926,0.050139,26.594002
1606.7001,40.105789,2.287352,0.051849,26.24086
1606.6001,41.558548,2.307274,0.054186,25.955597
1606.5001,43.955376,2.319541,0.057246,25.827324
1606.4001,46.687447,2.328453,0.060091,25.776855
1606.3001,49.811745,2.33509,0.060925,25.826111
1606.2001,54.97612,2.339649,0.061472,25.965187
1606.1001,60.239792,2.33872,0.06145,26.125629
1606.0001,64.082047,2.334589,0.064861,26.405102
1605.9001,68.203079,2.332106,0.070698,26.718399
1605.8001,71.113297,2.332251,0.076418,26.944901
1605.7001,72.144318,2.334294,0.081846,27.186893
1605.6001,72.130936,2.335731,0.08746,27.740128
1605.5001,70.985123,2.332884,0.090957,28.457603
1605.4001,69.648605,2.327443,0.091909,29.029396
1605.3001,68.788681,2.317179,0.090537,29.667122
1605.2001,68.404495,2.307184,0.087336,30.150005
1605.1001,68.550995,2.302843,0.085361,30.398155
1605.0001,69.041855,2.299892,0.08261,30.522495
1604.9001,70.062546,2.298868,0.080459,30.478359
1604.8001,70.957031,2.302706,0.080484,30.493576
1604.7001,71.216934,2.30947,0.08139,30.59721
1604.6001,70.778275,2.323139,0.084303,30.852917
1604.5001,68.246933,2.336577,0.086562,31.348431
1604.4001,64.741928,2.343256,0.086044,31.771507
1604.3001,61.064629,2.347149,0.082787,31.901085
1604.2001,55.179825,2.350809,0.079007,31.754005
1604.1001,49.44265,2.35388,0.075842,31.389915
1604.0001,45.631111,2.358847,0.072348,30.481098
1603.9001,42.816978,2.365691,0.06984,29.598152
1603.8001,40.555367,2.372015,0.067686,29.228535
1603.7001,39.587883,2.379077,0.065283,28.941921
1603.6001,39.764252,2.397519,0.066452,28.64193
1603.5001,40.293808,2.41978,0.070497,28.514099
1603.4001,40.428978,2.43578,0.074095,28.405235
1603.3001,39.785233,2.450985,0.076259,28.089062
1603.2001,37.908493,2.460469,0.07604,27.716934
1603.1001,35.739845,2.460166,0.072441,27.394573
1603.0001,34.302925,2.456672,0.067557,27.014702
1602.9001,33.075279,2.452453,0.061653,26.501389
1602.8001,32.186081,2.449712,0.055603,25.98732
1602.7001,31.823292,2.451849,0.052301,25.626926
1602.6001,31.886375,2.463449,0.049773,25.217075
1602.5001,32.079247,2.479733,0.047662,24.788101
1602.4001,32.236572,2.493633,0.047025,24.49519
1602.3001,32.297974,2.511906,0.045361,24.126442
1602.2001,32.260071,2.526743,0.041067,23.720177
1602.1001,32.120186,2.529459,0.036029,23.44355
1602.0001,31.879974,2.528097,0.0314,23.220001
1601.9001,31.546139,2.524459,0.027461,22.991539
1601.8001,30.629536,2.521407,0.024608,22.74638
1601.7001,29.123749,2.520103,0.023992,22.699028
1601.6001,27.841686,2.519092,0.02361,22.714077
1601.5001,26.009094,2.517556,0.022624,22.770802
1601.4001,24.063797,2.515997,0.021984,22.789509
1601.3001,23.352798,2.515959,0.021608,22.769485
1601.2001,23.151661,2.515245,0.020608,22.586002
1601.1001,23.470535,2.513744,0.019589,22.345062
1601.0001,24.176167,2.512197,0.018132,22.063496
1600.9001,24.915279,2.507682,0.015132,21.656059
1600.8001,26.107574,2.502223,0.011642,21.242764
1600.7001,28.156143,2.50034,0.011178,21.106926
1600.6001,30.371536,2.499714,0.013325,21.033871
1600.5001,34.066605,2.501091,0.019669,21.077934
1600.4001,38.894539,2.500136,0.026024,21.217705
1600.3001,41.195396,2.493861,0.031551,21.457306
1600.2001,42.661743,2.482395,0.037214,21.842171
1600.1001,42.656975,2.476865,0.040581,22.189182
1600.0001,40.948524,2.47466,0.04455,22.665768
1599.9001,38.807869,2.475498,0.048431,23.421631
1599.8001,35.854782,2.480627,0.050856,24.414562
1599.7001,32.503159,2.48607,0.049407,24.841797
1599.6001,31.158218,2.494612,0.045113,24.973591
1599.5001,30.387203,2.507916,0.040777,24.764408
1599.4001,29.960754,2.511408,0.037111,24.299328
1599.3001,29.899517,2.510099,0.03266,23.765564
1599.2001,30.187981,2.503412,0.028144,23.231743
1599.1001,30.83662,2.492247,0.022671,22.764801
1599.0001,30.628418,2.490295,0.022453,22.649139
1598.9001,30.421837,2.492053,0.024166,22.638332
1598.8001,30.213562,2.496054,0.027144,22.606956
1598.7001,30.006687,2.500121,0.029741,22.553474
1598.6001,29.796562,2.505563,0.031368,22.43087
1598.5001,29.588348,2.51241,0.032,22.272923
1598.4001,29.381672,2.516251,0.032017,22.155304
1598.3001,29.171589,2.517729,0.032343,22.067657
1598.2001,28.963387,2.515225,0.032239,22.027702
1598.1001,28.756382,2.509985,0.031352,22.025528
1598.0001,28.548393,2.509416,0.030836,22.138226
1597.9001,28.451172,2.50678,0.025564,22.333088
1597.8001,28.109097,2.505171,0.019609,22.511726
1597.7001,27.187782,2.507193,0.01861,22.529999
1597.6001,26.071648,2.510891,0.018815,22.457989
1597.5001,25.001022,2.517508,0.019561,22.266758
1597.4001,24.641312,2.518921,0.017792,22.130859
1597.3001,24.452793,2.515697,0.01442,22.073414
1597.2001,25.006714,2.50803,0.008716,22.086246
1597.1001,26.005646,2.499001,0.004646,22.178558
1597.0001,26.899387,2.49464,0.006254,22.198814
1596.9001,28.317589,2.488165,0.010453,22.071323
1596.8001,29.658733,2.478818,0.014127,21.850025
1596.7001,30.690918,2.471942,0.015837,21.717785
1596.6001,32.402161,2.466565,0.018226,21.757458
1596.5001,33.880684,2.465821,0.020716,21.978439
1596.4001,34.631371,2.471835,0.024162,22.329117
1596.3001,34.918739,2.480539,0.028514,22.699059
1596.2001,34.585487,2.494792,0.032562,22.993374
1596.1001,33.746315,2.508738,0.034269,23.114067
1596.0001,32.630615,2.516654,0.033615,22.96619
1595.9001,31.429646,2.521678,0.032139,22.710545
1595.8001,29.489357,2.522805,0.030221,22.368992
1595.7001,27.801403,2.523803,0.030571,22.034378
1595.6001,27.161877,2.526404,0.034141,21.83239
1595.5001,27.441185,2.530633,0.038489,21.702919
1595.4001,28.394192,2.535864,0.041609,21.611725
1595.3001,29.56226,2.538333,0.041886,21.60342
1595.2001,30.99707,2.537358,0.037389,21.624569
1595.1001,31.750114,2.535261,0.031796,21.630005
1595.0001,31.626961,2.530839,0.026493,21.601418
1594.9001,30.384346,2.521901,0.017811,21.532467
1594.8001,28.916084,2.512942,0.009672,21.415478
1594.7001,27.857529,2.507158,0.005486,21.228313
1594.6001,26.852615,2.503901,0.003701,21.010826
1594.5001,25.812336,2.502192,0.003579,20.694267
1594.4001,25.095242,2.50255,0.00584,20.352398
1594.3001,24.787811,2.504523,0.009567,20.085819
1594.2001,25.470631,2.506251,0.016404,19.997307
1594.1001,26.822292,2.505718,0.023003,20.061726
1594.0001,28.298656,2.502551,0.026608,20.278435
1593.9001,29.879978,2.499195,0.028304,20.574402
1593.8001,31.891964,2.498187,0.030337,21.004532
1593.7001,33.192436,2.499133,0.032225,21.368038
1593.6001,33.151894,2.5013,0.032919,21.523952
1593.5001,31.394978,2.505585,0.031586,21.62175
