,Unnamed: 0,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,permeability_measured,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,note,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
10,10,AST-02,89,1522.57,NLLFR,Basaal Zand van Dongen,11.2,11.2,8.3,11.2,9.4,7.7,6.3,14.6,25.7,5.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.112,,,56.0,5.600000000000001e-05,47.8,,29.0,2.65,0.29,4.717493374e-14,4.717493374e-14,1522.6,48.675522,2.226262,0.027509,26.582539,0.15,0.5,0.35,,,clay composition estimated,155.78042964821202,-10.700715729224298,1.0824452198544838,-4.647261793617443,1.0824452198544838,4.610971967513594e-05,3.500978407917355e-20,9.343530023761489e-23,2.300375678365189e-24,6.216035357177092e-23,8.019710651820001e-14,0.0,7.65184976135554e-15
11,11,AST-02,90,1523.5,NLLFR,Basaal Zand van Dongen,12.3,12.3,6.1,9.7,7.2,6.4,5.3,15.7,27.4,9.2,0.4,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.123,,,56.0,5.600000000000001e-05,86.0,,28.2,2.67,0.282,8.48754038e-14,8.48754038e-14,1523.5,48.834915,2.221435,0.024664,25.466225,0.15,0.5,0.35,,,clay composition estimated,129.80776597405708,-10.538125067290734,0.9628939822731991,-4.576649566330699,0.9628939822731991,4.8078197208998795e-05,5.135589848784561e-20,1.3657889238601983e-22,3.1676035781532455e-24,8.902995044991967e-23,1.0081142425458362e-13,0.0,7.760165711752729e-15
12,12,AST-02,91,1523.6,NLLFR,Basaal Zand van Dongen,16.8,16.8,6.3,9.5,7.8,7.2,2.7,12.5,17.0,19.5,0.5,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.168,,,69.0,6.9e-05,58.8,,27.4,2.66,0.274,5.803109003999998e-14,5.803109003999998e-14,1523.6,48.24958,2.226671,0.026781,25.26738,0.15,0.5,0.35,,,clay composition estimated,128.14412873457752,-10.52028174735814,1.048906159624699,-4.568900310945139,1.048906159624699,3.5720826548626604e-05,1.9138503753994272e-19,5.028680062555311e-22,9.50030353877803e-24,3.056478312279844e-22,9.007115844633481e-14,0.0,3.4019860169381155e-15
13,13,AST-02,93,1524.57,NLLFR,Basaal Zand van Dongen,13.9,13.9,5.5,6.6,6.9,5.3,3.5,12.1,34.7,10.3,0.4,0.3,0.3,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,,,56.0,5.600000000000001e-05,654.0,,30.9,2.66,0.309,6.454478382e-13,6.454478382e-13,1524.6,54.883965,2.237966,0.029628,25.840912,0.15,0.5,0.35,,,clay composition estimated,111.91795912034115,-10.376570419889108,0.9258786396100774,-4.5064872744383475,0.9258786396100774,5.200238409435336e-05,8.534038811447763e-20,2.2590305784699466e-22,4.840443723002077e-24,1.4333229613336576e-22,2.1277057371113723e-13,0.0,1.1299615903886643e-14
14,14,AST-02,94,1525.0,NLLFR,Basaal Zand van Dongen,10.6,10.6,3.9,5.5,6.4,6.7,5.7,13.5,29.5,16.9,0.9,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.106,,,56.0,5.600000000000001e-05,189.0,,28.3,2.65,0.28300000000000003,1.8652850370000002e-13,1.8652850370000002e-13,1525.0,54.872253,2.242712,0.031977,26.718643,0.15,0.5,0.35,,,clay composition estimated,98.83349396258072,-10.328385801518008,0.9054889057763984,-4.485560960567166,0.9054889057763984,5.062909357589141e-05,2.801054623329437e-20,7.490879447420983e-23,1.9095080702447786e-24,5.042979062318276e-23,1.7690615614203693e-13,0.0,1.7217378754613134e-14
15,15,AST-02,95,1525.57,NLLFR,Basaal Zand van Dongen,17.1,17.1,6.3,8.0,8.7,6.6,3.9,6.9,14.8,26.0,1.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,,,69.0,6.9e-05,8.98,,24.3,2.66,0.243,8.862571234e-15,8.862571234e-15,1525.6,53.47446400000001,2.24443,0.035733999999999995,26.22953,0.15,0.5,0.35,,,clay composition estimated,122.97772096002315,-10.46340899738268,1.1072662245505402,-4.544200789460135,1.1072662245505402,6.206732339381657e-05,2.0668854876269437e-19,5.426947274104709e-22,1.0130502208097268e-23,3.2850811703921414e-22,5.567363562492932e-14,0.0,2.1800822955564196e-15
16,16,AST-02,96,1526.14,NLLFR,Basaal Zand van Dongen,21.2,21.2,7.9,9.7,10.4,7.3,5.1,10.1,13.7,13.3,0.6,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.212,,,56.0,5.600000000000001e-05,22.7,,22.2,2.65,0.222,2.240315891e-14,2.240315891e-14,1526.1,50.19886,2.286813,0.05193,25.656147,0.15,0.5,0.35,,,clay composition estimated,143.25607312366776,-10.669740854431137,1.0139466779016562,-4.6338095764171285,1.0139466779016562,2.622265237591034e-05,5.391885446284049e-19,1.4033151731699052e-21,2.255866791474745e-23,8.0723208767264535e-22,2.7184450404079693e-14,0.0,6.894904630256078e-16
17,17,AST-02,97,1526.6,NLLFR,Basaal Zand van Dongen,21.4,21.4,7.2,8.7,9.9,8.8,6.8,10.2,10.8,15.0,0.9,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,,,69.0,6.9e-05,1.23,,20.9,2.64,0.209,1.213915659e-15,1.213915659e-15,1526.6,50.76387,2.291779,0.05779,26.432484,0.15,0.5,0.35,,,clay composition estimated,135.6914061827122,-10.64149940515002,1.0221161401522425,-4.621544470833392,1.0221161401522425,3.112193796472067e-05,5.629161752520675e-19,1.4644903529924769e-21,2.3384553875498065e-23,8.404947363125717e-22,2.31288343700863e-14,0.0,5.916642570665894e-16
18,18,AST-02,98,1527.1,NLLFR,Basaal Zand van Dongen,21.6,21.6,10.8,12.8,15.0,11.3,5.9,5.5,5.4,11.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000005,,,12.0,1.2e-05,2.15,,20.2,2.62,0.202,2.121885095e-15,2.121885095e-15,1527.1,52.340324,2.308844,0.08492000000000001,26.994675,0.15,0.5,0.35,,,clay composition estimated,183.937129210526,-11.020325020349098,1.093860401790603,-4.7860663451179555,1.093860401790603,2.4514729436001692e-05,5.87516439364443e-19,1.5278903831967612e-21,2.4234768651185523e-23,8.748885031754743e-22,1.0822155896923158e-14,0.0,3.179536342094364e-16
19,19,AST-02,99,1527.6,NLLFR,Basaal Zand van Dongen,25.6,25.6,8.2,10.7,12.0,9.4,4.4,6.1,15.0,8.1,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,,,56.0,5.600000000000001e-05,1.97,,20.5,2.62,0.205,1.944238901e-15,1.944238901e-15,1527.6,54.607285,2.315,0.07649199999999999,26.38007,0.15,0.5,0.35,,,clay composition estimated,150.62597698475528,-10.732169392877264,0.961725161233898,-4.660921946177568,0.961725161233898,2.3541127618777952e-05,1.3105251833078788e-18,3.3831204048096223e-21,4.735299635241244e-23,1.8562956444636972e-21,1.722638095921992e-14,0.0,2.834666952061612e-16
20,20,AST-02,100,1528.1,NLLFR,Basaal Zand van Dongen,15.5,15.5,0.4,2.3,6.0,9.7,10.1,20.4,27.3,6.3,0.4,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.155,,,56.0,5.600000000000001e-05,8.75,,25.3,2.64,0.253,8.635578875e-15,8.635578875e-15,1528.1,49.199982,2.273882,0.048769,26.238464,0.15,0.5,0.35,,,clay composition estimated,65.53741202100115,-10.198347257552475,0.703359953104876,-4.429085938488201,0.703359953104876,3.508350874796426e-05,1.3531660298569616e-19,3.566809303821636e-22,7.112691277789022e-24,2.208281804273884e-22,2.3631343283224615e-13,0.0,9.417294504865483e-15
21,21,AST-02,101,1528.6,NLLFR,Basaal Zand van Dongen,22.1,22.1,6.4,8.4,9.3,6.3,4.1,10.5,23.3,7.6,0.9,0.2,0.1,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,,,56.0,5.600000000000001e-05,1.6,,21.2,2.62,0.212,1.57907728e-15,1.57907728e-15,1528.6,48.623596,2.248754,0.040882,26.091915,0.15,0.5,0.35,,,clay composition estimated,125.42253853274595,-10.56047728135305,0.988479220806673,-4.586357009556284,0.988479220806673,4.484968529323384e-05,6.530145371307962e-19,1.6965764413032997e-21,2.647062750293707e-23,9.660344769395304e-22,2.8845519711167866e-14,0.0,6.428126565408218e-16
