,Unnamed: 0,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
20,20,AST-02,100,1528.1,NLLFR,Basaal Zand van Dongen,15.5,15.5,0.4,2.3,6.0,9.7,10.1,20.4,27.3,6.3,0.4,0.2,0.2,0.2,0.2,0.0,0.1,0.2,0.1,0.0,0.1,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.155,,,56.0,5.6000000000000006e-05,8.75,,25.3,2.64,0.253,8.635578875e-15,1528.1,49.199982,2.273882,0.048769,26.238464,,,,,,65.53741202100115,-10.219996691970609,0.6533718131612202,-4.438488168392322,0.6533718131612202,4.220777939893234e-05
21,21,AST-02,101,1528.6,NLLFR,Basaal Zand van Dongen,22.1,22.1,6.4,8.4,9.3,6.3,4.1,10.5,23.3,7.6,0.9,0.2,0.1,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221,,,56.0,5.6000000000000006e-05,1.6,,21.2,2.62,0.212,1.5790772800000001e-15,1528.6,48.623596,2.248754,0.040882,26.091915,,,,,,125.42253853274597,-10.49062665990149,1.0226667058666234,-4.55602127010236,1.0226667058666234,4.621504259098788e-05
22,22,AST-02,102,1529.1,NLLFR,Basaal Zand van Dongen,25.9,25.9,7.8,9.5,12.0,8.1,3.4,6.0,11.5,14.0,0.8,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.259,,,12.0,1.2e-05,20.9,,20.4,2.63,0.204,2.062669697e-14,1529.1,51.731499,2.262275,0.042602,26.509163,,,,,,141.59619053425084,-10.783491601598648,1.1559026016225407,-4.683210898224352,1.1559026016225407,1.6489404133827024e-05
23,23,AST-02,103,1529.6,NLLFR,Basaal Zand van Dongen,21.6,21.6,6.2,6.8,7.1,6.4,2.9,10.9,31.0,3.8,1.1,1.6,0.3,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21600000000000003,,,56.0,5.6000000000000006e-05,22.0,,21.7,2.63,0.217,2.17123126e-14,1529.6,54.663993999999995,2.25414,0.037297000000000004,26.346241,,,,,,115.3561783798077,-10.437117316005951,1.0386006796921528,-4.5327824573182625,1.0386006796921528,3.6921254941261774e-05
24,24,AST-02,104,1531.08,NLLFR,Landen klei,18.9,18.9,5.8,7.9,10.6,10.0,5.8,15.6,23.4,1.6,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18899999999999997,,,56.0,5.6000000000000006e-05,5.4,,24.2,2.65,0.242,5.32938582e-15,1531.1,55.792708999999995,2.280487,0.049899,25.890304999999998,,,,,,127.29366069046979,-10.61489403695293,0.8972936577309255,-4.609989906236389,0.8972936577309255,3.655071580622145e-05
25,25,AST-02,105,1531.6,NLLFR,Landen klei,23.5,23.5,7.0,8.9,8.7,6.3,2.9,9.7,27.1,4.9,0.3,0.3,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.235,,,56.0,5.6000000000000006e-05,8.01,,22.6,2.64,0.226,7.905255633e-15,1531.6,51.673149,2.268053,0.032332,25.876011,,,,,,129.8317853599347,-10.703609235305953,1.0518772857501382,-4.648518427342062,1.0518772857501382,3.68598416335446e-05
26,26,AST-02,106,1532.07,NLLFR,Landen klei,37.6,37.6,9.7,14.3,14.7,10.8,7.8,4.7,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.376,,,12.0,1.2e-05,153.0,,22.4,2.64,0.22399999999999998,1.509992649e-13,1532.1,53.986664000000005,2.2850919999999997,0.024812999999999998,26.508640000000003,,,,,,175.3464513004636,-11.358457709864068,0.8661515967182626,-4.932915506325411,0.8661515967182626,1.3570635150923401e-05
27,27,AST-02,108,1533.1,NLLFR,Landen klei,24.0,24.0,10.4,12.2,15.0,12.5,10.5,7.6,1.8,1.4,1.8,1.5,0.7,0.2,0.2,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,,,12.0,1.2e-05,14.2,,21.5,2.62,0.215,1.4014310859999997e-14,1533.1,57.627106000000005,2.2985349999999998,0.045133,27.523173999999997,,,,,,180.85727902005118,-11.062766515771232,0.9927227179572617,-4.804498452383509,0.9927227179572617,2.1683578320848206e-05
28,28,AST-02,109,1533.6,NLLFR,Landen klei,17.2,17.2,7.2,8.6,8.6,5.8,2.7,0.6,0.1,1.9,1.1,1.0,1.4,1.1,2.0,1.8,1.8,2.5,4.9,4.0,4.7,5.7,4.4,4.2,3.1,1.8,1.2,0.3,0.3,0.172,,,12.0,1.2e-05,2.02,,18.0,2.61,0.18,1.993585066e-15,1533.6,61.288925,2.3143380000000002,0.038801,27.621346000000003,,,,,,115.7692301963938,-9.415260539165175,2.0108015935743153,-4.08899569784087,2.0108015935743153,0.0001676696159866205
29,29,AST-02,110,1534.04,NLLFR,Landen klei,31.5,31.5,8.6,12.0,15.8,14.3,11.2,5.8,0.0,0.5,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.315,,,12.0,1.2e-05,7.27,,20.1,2.61,0.201,7.174932391e-15,1534.0,56.761925,2.292744,0.021578,26.643440000000002,,,,,,167.525485891543,-11.099254184433345,0.8691479977328974,-4.8203448455409825,0.8691479977328974,1.560851954755797e-05
30,30,AST-02,111,1534.6,NLLFR,Landen klei,34.2,34.2,8.2,10.8,14.9,14.3,7.2,6.5,2.5,0.8,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.342,,,12.0,1.2e-05,16.7,,19.1,2.6,0.191,1.648161911e-14,1534.6,58.305389,2.2595520000000002,0.019443000000000002,27.349957,,,,,,156.78439701865378,-11.218773813173947,0.8309690397203928,-4.872251560782147,0.8309690397203928,9.250061194433101e-06
31,31,AST-02,112,1535.1,NLLFR,Landen klei,6.2,6.2,10.9,14.1,13.7,8.4,5.2,4.0,2.9,12.2,10.7,6.7,3.0,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.062,,,6.0,6e-06,,,,,,,1535.1,54.573311,2.298526,0.030249,27.857712,,,,,,187.101947212439,-10.682870066888817,1.3491326453710313,-4.639511520939236,1.3491326453710313,2.4907165194093258e-05
32,32,AST-02,113,1229.1,NMVFV,Zand van Voort,6.7,6.7,8.5,11.4,11.0,7.7,5.4,5.9,7.4,11.7,11.4,7.6,3.8,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.067,,,69.0,6.9e-05,19.0,,30.0,2.63,0.3,1.87515427e-14,1229.1,61.175339,,,,,,,,,156.29854861529404,-10.49650375952784,1.2154269614239224,-4.558573662039679,1.2154269614239224,4.472999556457922e-05
33,33,AST-02,114,1229.6,NMVFV,Zand van Voort,5.8,5.8,10.5,12.1,12.2,8.7,5.3,4.6,3.5,11.2,12.8,8.5,4.1,0.4,0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057999999999999996,,,81.0,8.1e-05,7.52,,30.4,2.61,0.304,7.421663216e-15,1229.6,61.650780000000005,,,,,,,,,175.5116941467307,-10.649653548251573,1.2983207599425841,-4.625085770187043,1.2983207599425841,2.578530631091561e-05
34,34,AST-02,115,1230.1,NMVFV,Zand van Voort,5.7,5.7,8.6,10.9,10.4,7.8,5.5,6.3,6.3,11.1,12.5,8.9,4.7,0.5,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057,,,81.0,8.1e-05,7.25,,31.2,2.61,0.312,7.155193925000001e-15,1230.1,71.933914,,,,,,,,,154.5930253504592,-10.388405062393064,1.1954426170287369,-4.511626994373115,1.1954426170287369,4.991454692566311e-05
35,35,AST-02,116,1230.6,NMVFV,Zand van Voort,5.1,5.1,8.9,11.4,11.1,8.5,5.7,6.1,6.1,12.7,12.5,7.9,3.3,0.3,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,,,81.0,8.1e-05,7.33,,31.7,2.62,0.317,7.234147789e-15,1230.6,71.54316700000001,,,,,,,,,160.7402944855636,-10.486834275116944,1.1835424263539325,-4.554374258317176,1.1835424263539325,3.692902420115488e-05
36,36,AST-02,117,1231.1,NMVFV,Zand van Voort,9.4,9.4,8.6,12.7,12.0,8.0,5.0,5.2,4.8,13.4,11.4,6.3,2.5,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.094,,,69.0,6.9e-05,26.4,,32.9,2.62,0.32899999999999996,2.605477512e-14,1231.1,64.14825400000001,,,,,,,,,162.39269640012054,-10.599478574140711,1.304527308977105,-4.603295055801058,1.304527308977105,3.444556789084499e-05
37,37,AST-02,119,1232.1,NMVFV,Zand van Voort,9.5,9.5,8.2,12.1,11.5,8.0,5.4,5.8,5.1,13.5,10.9,6.3,3.0,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095,,,69.0,6.9e-05,,,,,,,1232.1,58.807922,,,,,,,,,156.90992604599086,-10.556772694312727,1.1560679564786611,-4.58474812784694,1.1560679564786611,4.1835946956548456e-05
38,38,AST-02,124,1234.7,NMVFV,Zand van Voort,6.6,6.6,9.7,13.6,12.3,7.9,4.8,4.7,3.3,10.6,10.6,9.2,5.9,0.5,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,,,6.0,6e-06,6.51,,29.3,2.6,0.293,6.424870683000001e-15,1234.7,58.380897999999995,,,,,,,,,173.7662359138029,-10.501612429400598,1.1381212181932285,-4.560792329175283,1.1381212181932285,2.8815548081059935e-05
39,39,AST-02,66,1510.9,NMRFS,Zand van Berg,0.9,0.9,1.9,2.4,1.9,0.8,0.5,0.5,0.3,4.9,10.7,24.3,30.6,9.8,8.1,1.2,0.3,0.3,0.3,0.0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,3.437,0.856,115.0,0.00011499999999999999,1150.0,,34.9,2.64,0.349,1.134961795e-12,1510.9,53.684082,2.130843,0.021297,28.027896999999996,,,,,,47.89791713480351,-9.3398608612766,0.7759777196417038,-4.056250033796581,0.7759777196417038,0.00011515584070664755
40,40,AST-02,38,1247.35,NMVFV,Zand van Voort,10.5,10.5,2.7,3.8,4.3,3.9,3.0,4.8,4.9,0.4,0.7,1.0,1.8,3.5,4.0,13.5,13.1,12.3,11.4,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.105,3.58,1.83,192.0,0.000192,101.0,,31.2,2.6,0.312,9.96792533e-14,1247.3,66.13401800000001,,,,,,,,,60.65948694950356,-9.17678062808638,1.289521984713462,-3.9854251884145717,1.289521984713462,0.00018308282023194426
41,41,AST-02,39,1502.8,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,638.0,,35.6,2.67,0.35600000000000004,6.296570654e-13,1502.8,47.700554,2.136516,0.016,26.525459,0.0,0.3,0.65,0.05,0.0,,,,,,
42,42,AST-02,40,1503.1,NMRFS,Zand van Berg,1.8,1.8,2.8,3.4,3.0,1.6,1.1,1.0,0.6,6.3,12.4,22.6,35.6,5.9,1.3,0.2,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,3.68,0.97,115.0,0.00011499999999999999,1350.0,,36.8,2.66,0.368,1.332346455e-12,1503.1,49.181877,2.168078,0.024031999999999998,26.394569,,,,,,62.02504850556004,-9.498674062769922,0.8656080887622586,-4.125221730858518,0.8656080887622586,9.48067974239755e-05
43,43,AST-02,41,1503.4,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.0,,34.1,2.67,0.341,9.849494534e-13,1503.4,49.59819,2.1951959999999997,0.028124,26.459991,,,,,,,,,,,
44,44,AST-02,42,1503.7,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622.0,,33.5,2.66,0.335,6.138662926e-13,1503.7,48.003159000000004,2.196104,0.027951999999999998,26.528361999999998,,,,,,,,,,,
45,45,AST-02,43,1504.0,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,884.0,,35.6,2.67,0.35600000000000004,8.724401972e-13,1504.0,45.736359,2.170259,0.023518,26.599937,,,,,,,,,,,
46,46,AST-02,44,1504.3,NMRFS,Zand van Berg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,,30.1,2.63,0.301,3.029854531e-13,1504.3,45.715019,2.142929,0.013747,26.649836999999998,,,,,,,,,,,
