,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
11,AST-02,90,1523.5,NLLFR,"Basaal Zand van Dongen",12.3,12.3,6.1,9.7,7.2,6.4,5.3,15.7,27.4,9.2,0.4,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.123,,,56,5.6E-05,86,,28.2,2.67,0.282,8.48754038E-14,1523.5,48.834915,2.221435,0.024664,25.466225,,,,,,129.807765974057,-10.940735798601,1.38689558440869,-4.751501185294,1.38689558440869,3.58498971670829E-05
12,AST-02,91,1523.6,NLLFR,"Basaal Zand van Dongen",16.8,16.8,6.3,9.5,7.8,7.2,2.7,12.5,17,19.5,0.5,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.168,,,69,6.9E-05,58.8,,27.4,2.66,0.274,5.803109004E-14,1523.6,48.24958,2.226671,0.026781,25.26738,,,,,,128.144128734577,-11.0739518461919,1.57862979709172,-4.80935617966378,1.57862979709172,2.51119690332966E-05
13,AST-02,93,1524.57,NLLFR,"Basaal Zand van Dongen",13.9,13.9,5.5,6.6,6.9,5.3,3.5,12.1,34.7,10.3,0.4,0.3,0.3,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.139,,,56,5.6E-05,654,,30.9,2.66,0.309,6.454478382E-13,1524.6,54.883965,2.237966,0.029628,25.840912,,,,,,111.917959120341,-10.9709788801118,1.58614166417116,-4.764635588709,1.58614166417116,3.75001723753677E-05
14,AST-02,94,1525,NLLFR,"Basaal Zand van Dongen",10.6,10.6,3.9,5.5,6.4,6.7,5.7,13.5,29.5,16.9,0.9,0.1,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.106,,,56,5.6E-05,189,,28.3,2.65,0.283,1.865285037E-13,1525,54.872253,2.242712,0.031977,26.718643,,,,,,98.8334939625807,-11.0384363300755,2.29094199187763,-4.79393198699108,2.29094199187763,4.41674626921242E-05
15,AST-02,95,1525.57,NLLFR,"Basaal Zand van Dongen",17.1,17.1,6.3,8,8.7,6.6,3.9,6.9,14.8,26,1.4,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,,,69,6.9E-05,8.98,,24.3,2.66,0.243,8.862571234E-15,1525.6,53.474464,2.24443,0.035734,26.22953,,,,,,122.977720960023,-10.9283835133122,1.42007224471923,-4.74613665595477,1.42007224471923,2.88491661126286E-05
16,AST-02,96,1526.14,NLLFR,"Basaal Zand van Dongen",21.2,21.2,7.9,9.7,10.4,7.3,5.1,10.1,13.7,13.3,0.6,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0.212,,,56,5.6E-05,22.7,,22.2,2.65,0.222,2.240315891E-14,1526.1,50.19886,2.286813,0.05193,25.656147,,,,,,143.256073123668,-11.2876752507851,1.55142310605307,-4.90217507493192,1.55142310605307,1.77098331694894E-05
17,AST-02,97,1526.6,NLLFR,"Basaal Zand van Dongen",21.4,21.4,7.2,8.7,9.9,8.8,6.8,10.2,10.8,15,0.9,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214,,,69,6.9E-05,1.23,,20.9,2.64,0.209,1.213915659E-15,1526.6,50.76387,2.291779,0.05779,26.432484,,,,,,135.691406182712,-11.3349515264506,1.68454108645187,-4.92270690057933,1.68454108645187,2.46100385374657E-05
18,AST-02,98,1527.1,NLLFR,"Basaal Zand van Dongen",21.6,21.6,10.8,12.8,15,11.3,5.9,5.5,5.4,11.1,0.4,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,,,12,1.2E-05,2.15,,20.2,2.62,0.202,2.121885095E-15,1527.1,52.340324,2.308844,0.08492,26.994675,,,,,,183.937129210526,-11.9236967814116,1.78964536225082,-5.17839571605476,1.78964536225082,8.3750238158552E-06
19,AST-02,99,1527.6,NLLFR,"Basaal Zand van Dongen",25.6,25.6,8.2,10.7,12,9.4,4.4,6.1,15,8.1,0.2,0,0.1,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.256,,,56,5.6E-05,1.97,,20.5,2.62,0.205,1.944238901E-15,1527.6,54.607285,2.315,0.076492,26.38007,,,,,,150.625976984755,-12.0005735565937,2.18298075864232,-5.21178287530249,2.18298075864232,1.58054336402899E-05
20,AST-02,100,1528.1,NLLFR,"Basaal Zand van Dongen",15.5,15.5,0.4,2.3,6,9.7,10.1,20.4,27.3,6.3,0.4,0.2,0.2,0.2,0.2,0,0.1,0.2,0.1,0,0.1,0.2,0,0.1,0,0,0,0,0,0.155,,,56,5.6E-05,8.75,,25.3,2.64,0.253,8.635578875E-15,1528.1,49.199982,2.273882,0.048769,26.238464,,,,,,65.5374120210011,-10.7436698218666,1.23297881539937,-4.66591651902653,1.23297881539937,3.67611734184069E-05
21,AST-02,101,1528.6,NLLFR,"Basaal Zand van Dongen",22.1,22.1,6.4,8.4,9.3,6.3,4.1,10.5,23.3,7.6,0.9,0.2,0.1,0.1,0.2,0,0.1,0.2,0.1,0,0,0.1,0,0,0,0,0,0,0,0.221,,,56,5.6E-05,1.6,,21.2,2.62,0.212,1.57907728E-15,1528.6,48.623596,2.248754,0.040882,26.091915,,,,,,125.422538532746,-11.1508247228033,1.44565393698336,-4.84274164578428,1.44565393698336,1.85203548054154E-05
22,AST-02,102,1529.1,NLLFR,"Basaal Zand van Dongen",25.9,25.9,7.8,9.5,12,8.1,3.4,6,11.5,14,0.8,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.2,0.1,0,0,0,0,0,0,0,0.259,,,12,1.2E-05,20.9,,20.4,2.63,0.204,2.062669697E-14,1529.1,51.731499,2.262275,0.042602,26.509163,,,,,,141.596190534251,-11.4964112411508,1.53399137191382,-4.99282796372252,1.53399137191382,1.01575310702074E-05
23,AST-02,103,1529.6,NLLFR,"Basaal Zand van Dongen",21.6,21.6,6.2,6.8,7.1,6.4,2.9,10.9,31,3.8,1.1,1.6,0.3,0.1,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0.216,,,56,5.6E-05,22,,21.7,2.63,0.217,2.17123126E-14,1529.6,54.663994,2.25414,0.037297,26.346241,,,,,,115.356178379808,-11.2487828458419,1.71923040210063,-4.88528431807707,1.71923040210063,3.18334605993318E-05
